titulo,ranking
Shadows Over Loathing,3875
Fallout 2: A Post Nuclear Role Playing Game,3055
Onmyoji,3370
Rune Factory 5,3570
Drakensang Online,2423
Cyber Manhunt,3081
LISA: The Painful,3173
Rise of Gun,2710
Shop Legends,0
Succumate,2485
Fallout 4 - Automatron,3360
Temtem,3602
Pathless Woods,3152
暖雪 Warm Snow - 终业,2869
Return From Core,3168
Neon Abyss,3581
Super Dark Deception,3132
SpellForce: Conquest of Eo,3065
Grim Dawn - Crucible Mode DLC,2789
Karos,4876
The Legend of Heroes: Kuro no Kiseki,3700
Hero's Hour,3003
Robin Hood - Sherwood Builders,2443
Terra Randoma,3609
Tales of the Black Forest,3235
劍俠．風塵戀曲,2595
Mr. Prepper - Animal Farm DLC,2961
Incremental Cubes,0
The Legend of Heroes: Trails of Cold Steel,4807
The Legend of Heroes: Trails in the Sky SC,4345
S.T.A.L.K.E.R.: Call of Pripyat,3340
ENDLESS™ Legend,3706
Storage Hustle,3743
Romancing SaGa 2: Revenge of the Seven,2087
Dungeon's Legion,2370
Tales from the Borderlands,3902
Alien Hominid Invasion,4468
Snail Simulator,3872
Okami HD,4639
Chrono Ark - Summer Twilight,2720
Succubus Affection,2884
人魅,2698
Cogmind,2645
Crypt of the NecroDancer,3169
Spellstone,3148
Persona 5 Tactica,3525
大侠立志传：碧血丹心 - DLC,3099
Darkest Dungeon®: The Color Of Madness,3480
Fallout: A Post Nuclear Role Playing Game,4022
Wandering Sword - Mount Pack: Majestic Steeds,3007
Monster Rancher 1 & 2 DX,4778
The Brew Barons,3948
Hellsweeper VR,7742
Demeo,4611
Into the Breach,2681
Watch Dogs®: Legion,2573
梦灯花 Noctuary,4324
Detective Girl of the Steam City,3549
Melvor Idle: Atlas of Discovery,3457
Trine 3: The Artifacts of Power,3277
Shinobi Warfare,2526
Legendary Tales,2907
The Riftbreaker: Metal Terror,3000
Talisman: Digital Edition,3324
M.A.S.S. Builder,0
Feign,3030
NEOGEO POCKET COLOR SELECTION Vol.2,3470
I Was a Teenage Exocolonist,3240
Farmer's Dynasty,2670
Dungeon Fighter Online,4449
Zoria: Age of Shattering,4920
Tree of Savior (English Ver.),4211
The Legend of Heroes: Trails from Zero,3354
Cartel Tycoon,3328
Etrian Odyssey HD,4950
